Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for, ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs)",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas,Year
Austria,MALAYSIA,KUALA LUMPUR,,,,,,645.0,628.0,234.0,0.37261146496815284,0.0,17.0,0.02635658914728682,645.0,628.0,17.0,0.02635658914728682,2023
Austria,MEXICO,MEXICO CITY,,,,,,39.0,38.0,22.0,0.5789473684210527,1.0,0.0,0.0,39.0,39.0,,,2023
Austria,MOROCCO,RABAT,,,,,,2274.0,1111.0,991.0,0.891989198919892,6.0,1157.0,0.5087950747581355,2274.0,1117.0,1157.0,0.5087950747581355,2023
Austria,NIGERIA,ABUJA,1.0,1.0,0.0,0.0,0.0,1824.0,1173.0,1048.0,0.8934356351236147,15.0,636.0,0.34868421052631576,1825.0,1189.0,636.0,0.34849315068493153,2023
Austria,NORTH MACEDONIA,SKOPJE,,,,,,1042.0,207.0,198.0,0.9565217391304348,719.0,116.0,0.11132437619961612,1042.0,926.0,116.0,0.11132437619961612,2023
Austria,OMAN,MUSCAT,,,,,,3237.0,3096.0,3089.0,0.9977390180878553,1.0,140.0,0.04324992276799506,3237.0,3097.0,140.0,0.04324992276799506,2023
Austria,PAKISTAN,ISLAMABAD,,,,,,3006.0,769.0,320.0,0.41612483745123535,26.0,2211.0,0.7355289421157685,3006.0,795.0,2211.0,0.7355289421157685,2023
Austria,PERU,LIMA,,,,,,17.0,12.0,9.0,0.75,2.0,3.0,0.17647058823529413,17.0,14.0,3.0,0.17647058823529413,2023
Austria,PHILIPPINES,MANILA,,,,,,4228.0,3908.0,3907.0,0.9997441146366428,0.0,320.0,0.07568590350047304,4228.0,3908.0,320.0,0.07568590350047304,2023
Austria,ROMANIA,BUCHAREST,,,,,,242.0,208.0,107.0,0.5144230769230769,3.0,31.0,0.128099173553719,242.0,211.0,31.0,0.128099173553719,2023
Austria,RUSSIAN FEDERATION,MOSCOW,,,,,,6092.0,3738.0,1244.0,0.33279828785446763,746.0,1608.0,0.2639527248850952,6092.0,4484.0,1608.0,0.2639527248850952,2023
Austria,SAUDI ARABIA,RIYADH,,,,,,28861.0,27987.0,27953.0,0.9987851502483296,31.0,843.0,0.02920896711825647,28861.0,28018.0,843.0,0.02920896711825647,2023
Austria,SENEGAL,DAKAR,,,,,,766.0,386.0,109.0,0.2823834196891192,2.0,378.0,0.4934725848563969,766.0,388.0,378.0,0.4934725848563969,2023
Austria,SERBIA,BELGRADE,,,,,,1175.0,1088.0,779.0,0.7159926470588235,27.0,60.0,0.05106382978723404,1175.0,1115.0,60.0,0.05106382978723404,2023
Austria,SLOVAKIA,BRATISLAVA,,,,,,89.0,81.0,74.0,0.9135802469135802,5.0,3.0,0.033707865168539325,89.0,86.0,3.0,0.033707865168539325,2023
Austria,SLOVENIA,LJUBLJANA,,,,,,74.0,68.0,67.0,0.9852941176470589,3.0,3.0,0.04054054054054054,74.0,71.0,3.0,0.04054054054054054,2023
Austria,SOUTH AFRICA,PRETORIA,,,,,,5114.0,4932.0,4416.0,0.8953771289537713,6.0,176.0,0.03441533046538913,5114.0,4938.0,176.0,0.03441533046538913,2023
Austria,SOUTH KOREA,SEOUL,,,,,,211.0,175.0,64.0,0.3657142857142857,0.0,36.0,0.17061611374407584,211.0,175.0,36.0,0.17061611374407584,2023
Austria,SYRIA,DAMASCUS,,,,,,351.0,142.0,33.0,0.2323943661971831,6.0,203.0,0.5783475783475783,351.0,148.0,203.0,0.5783475783475783,2023
Austria,TAIWAN,TAIPEI,,,,,,129.0,129.0,127.0,0.9844961240310077,0.0,0.0,0.0,129.0,129.0,,,2023
Austria,THAILAND,BANGKOK,,,,,,13208.0,12873.0,12859.0,0.9989124524197933,1.0,334.0,0.02528770442156269,13208.0,12874.0,334.0,0.02528770442156269,2023
Austria,TUNISIA,TUNIS,,,,,,2716.0,1544.0,545.0,0.35297927461139894,5.0,1167.0,0.42967599410898377,2716.0,1549.0,1167.0,0.42967599410898377,2023
Austria,TÜRKIYE,ISTANBUL,,,,,,17505.0,14395.0,12151.0,0.8441125390760681,7.0,3103.0,0.17726363896029707,17505.0,14402.0,3103.0,0.17726363896029707,2023
Austria,UNITED ARAB EMIRATES,ABU DHABI,,,,,,6028.0,4697.0,3786.0,0.8060464126037896,140.0,1191.0,0.19757796947577969,6028.0,4837.0,1191.0,0.19757796947577969,2023
Austria,UNITED KINGDOM,LONDON,,,,,,3251.0,2980.0,770.0,0.25838926174496646,16.0,255.0,0.07843740387573055,3251.0,2996.0,255.0,0.07843740387573055,2023
Austria,USA,"LOS ANGELES, CA",,,,,,1185.0,1050.0,994.0,0.9466666666666667,0.0,135.0,0.11392405063291139,1185.0,1050.0,135.0,0.11392405063291139,2023
Austria,USA,"NEW YORK, NY",,,,,,1537.0,1478.0,1449.0,0.9803788903924222,11.0,48.0,0.031229668184775537,1537.0,1489.0,48.0,0.031229668184775537,2023
Austria,USA,"WASHINGTON, DC",,,,,,779.0,749.0,732.0,0.9773030707610146,0.0,30.0,0.038510911424903725,779.0,749.0,30.0,0.038510911424903725,2023
Austria,VIETNAM,HANOI,,,,,,1549.0,1370.0,298.0,0.21751824817518248,8.0,171.0,0.1103938024531956,1549.0,1378.0,171.0,0.1103938024531956,2023
Belgium,ALGERIA,ALGIERS,,,,,,8041.0,4558.0,1414.0,0.3102237823606845,27.0,3483.0,0.4317055032226078,8041.0,4585.0,3483.0,0.4317055032226078,2023
Belgium,ANGOLA,LUANDA,1.0,,,,,1770.0,594.0,167.0,0.28114478114478114,,1176.0,0.6644067796610169,1771.0,594.0,1176.0,0.6644067796610169,2023
Belgium,ARGENTINA,BUENOS AIRES,,,,,,8.0,7.0,7.0,1.0,,1.0,0.125,8.0,7.0,1.0,0.125,2023
Belgium,AUSTRALIA,CANBERRA,,,,,,477.0,436.0,79.0,0.1811926605504587,,41.0,0.0859538784067086,477.0,436.0,41.0,0.0859538784067086,2023
Belgium,AUSTRIA,VIENNA,,,,,,1.0,1.0,1.0,1.0,,1.0,0.5,1.0,1.0,1.0,0.5,2023
Belgium,BELGIUM,BRUSSELS,,,,,,33.0,33.0,19.0,0.5757575757575758,,0.0,0.0,33.0,33.0,,,2023
Belgium,BRAZIL,SAO PAULO,,,,,,72.0,41.0,11.0,0.2682926829268293,1.0,31.0,0.4246575342465753,72.0,42.0,31.0,0.4246575342465753,2023
Belgium,BULGARIA,SOFIA,,,,,,179.0,149.0,86.0,0.5771812080536913,,30.0,0.16759776536312848,179.0,149.0,30.0,0.16759776536312848,2023
Belgium,BURKINA FASO,OUAGADOUGOU,,,,,,4022.0,2493.0,1483.0,0.5948656237464902,,1529.0,0.3801591248135256,4022.0,2493.0,1529.0,0.3801591248135256,2023
Belgium,BURUNDI,BUJUMBURA,2.0,,1.0,,,3695.0,2304.0,672.0,0.2916666666666667,,1391.0,0.37645466847090664,3697.0,2304.0,1391.0,0.37645466847090664,2023
Belgium,CAMEROON,YAONDE,1.0,,,,,5430.0,3017.0,1305.0,0.43254888962545573,5.0,2413.0,0.44397424103035876,5431.0,3022.0,2413.0,0.44397424103035876,2023
